Index,Mode,Set,Instance,Seed,CutoffSeconds,SolverSHA256,ExternalSeconds,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,SolverExitCode,VerifierExitCode,EarlyExit,HasVerifiedSolution,BestCost,Log
1,"A7","23_old_wpms_160","abstraction-refinement_wt-downcast-antlr_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",67.228573,,,255,1,False,False,,"001.log"
2,"A7","23_old_wpms_160","abstraction-refinement_wt-downcast-avrora_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",65.215242,57.135839,57.135839,0,0,False,True,52209,"002.log"
3,"A7","23_old_wpms_160","abstraction-refinement_wt-downcast-hsqldb_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",63.256758,,,255,1,False,False,,"003.log"
4,"A7","23_old_wpms_160","abstraction-refinement_wt-downcast-pmd_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",63.611028,,,255,1,False,False,,"004.log"
5,"A7","23_old_wpms_160","abstraction-refinement_wt-downcast-xalan_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",65.860193,63.890466,63.890466,0,0,False,True,70055,"005.log"
6,"A7","23_old_wpms_160","abstraction-refinement_wt-polysite-avrora_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.206600,58.810435,58.810435,0,0,False,True,57355,"006.log"
7,"A7","23_old_wpms_160","abstraction-refinement_wt-polysite-bloat_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",63.128482,,,255,1,False,False,,"007.log"
8,"A7","23_old_wpms_160","abstraction-refinement_wt-polysite-hsqldb_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",62.654353,,,255,1,False,False,,"008.log"
9,"A7","23_old_wpms_160","abstraction-refinement_wt-polysite-pmd_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",67.542378,,,255,1,False,False,,"009.log"
10,"A7","23_old_wpms_160","abstraction-refinement_wt-polysite-xalan_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",67.221167,,,255,1,False,False,,"010.log"
11,"A7","23_old_wpms_160","causal-discovery_wt-causal_alarm_9_1000_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.099713,7.354794,16.764458,0,0,False,True,36049513,"011.log"
12,"A7","23_old_wpms_160","causal-discovery_wt-causal_carpo_8_1000_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.042713,2.640818,6.674115,0,0,False,True,3556961,"012.log"
13,"A7","23_old_wpms_160","causal-discovery_wt-causal_Link_10_10000_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.246785,19.643682,31.391682,0,0,False,True,39112847,"013.log"
14,"A7","23_old_wpms_160","causal-discovery_wt-causal_Link_10_1000_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.242857,19.468833,46.339703,0,0,False,True,33562494,"014.log"
15,"A7","23_old_wpms_160","causal-discovery_wt-causal_Link_9_100_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.104611,6.666355,6.666355,0,0,False,True,3242187,"015.log"
16,"A7","23_old_wpms_160","causal-discovery_wt-causal_Mushroom_7_1000_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.019625,0.908060,20.048540,0,0,False,True,9414169,"016.log"
17,"A7","23_old_wpms_160","causal-discovery_wt-causal_Pigs_6_1000_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.038715,2.402119,2.402119,0,0,False,True,35110976,"017.log"
18,"A7","23_old_wpms_160","causal-discovery_wt-causal_Water_10_1000_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.292822,19.512687,28.346127,0,0,False,True,45193159,"018.log"
19,"A7","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.031489,2.510612,10.265730,0,0,False,True,7014701,"019.log"
20,"A7","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_UNARY_N290_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.393387,21.001309,21.001309,0,0,False,True,33957845,"020.log"
21,"A7","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N220_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.020358,0.863185,9.338925,0,0,False,True,14004102,"021.log"
22,"A7","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N240_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.018341,1.022998,9.535558,0,0,False,True,16116883,"022.log"
23,"A7","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N380_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.040774,2.645527,14.573822,0,0,False,True,39198852,"023.log"
24,"A7","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_UNARY_N220_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.205559,11.473736,11.473736,0,0,False,True,23179718,"024.log"
25,"A7","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.624564,60.337539,60.337539,0,0,False,True,198654734,"025.log"
26,"A7","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_UNARY_N220_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.199903,11.182149,11.182149,0,0,False,True,25805511,"026.log"
27,"A7","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_BINARY_N320_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.017050,1.067043,8.983130,0,0,False,True,14733167,"027.log"
28,"A7","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_UNARY_N250_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.184639,9.943174,9.943174,0,0,False,True,20419164,"028.log"
29,"A7","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.187843,10.676336,10.676336,0,0,False,True,822078090,"029.log"
30,"A7","23_old_wpms_160","correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.240894,14.883397,14.883397,0,0,False,True,1169882030,"030.log"
31,"A7","23_old_wpms_160","decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.045820,4.045304,5.650814,0,0,False,True,355,"031.log"
32,"A7","23_old_wpms_160","decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.065046,3.989623,10.739783,0,0,False,True,762,"032.log"
33,"A7","23_old_wpms_160","decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.089042,3.590071,3.590071,0,0,False,True,599,"033.log"
34,"A7","23_old_wpms_160","decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.415726,39.252411,39.252411,0,0,False,True,139,"034.log"
35,"A7","23_old_wpms_160","decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.030228,0.945437,1.134055,0,0,False,True,138,"035.log"
36,"A7","23_old_wpms_160","decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.063181,3.093676,3.387507,0,0,False,True,146,"036.log"
37,"A7","23_old_wpms_160","decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_6_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.045541,3.180911,3.879232,0,0,False,True,240,"037.log"
38,"A7","23_old_wpms_160","decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.165336,15.758042,28.671482,0,0,False,True,120,"038.log"
39,"A7","23_old_wpms_160","decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.268422,14.666058,14.666058,0,0,False,True,269,"039.log"
40,"A7","23_old_wpms_160","decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2_old.wcnf",1,60,"00ecb93c523cdf8aca11f9110bb8a8e7749b27decd5924a221d319d0362afe86",60.014966,0.381654,5.142681,0,0,False,True,84,"040.log"
