Index,Mode,Set,Instance,Seed,CutoffSeconds,SolverSHA256,ExternalSeconds,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,SolverExitCode,VerifierExitCode,EarlyExit,HasVerifiedSolution,BestCost,Log
1,"Y00","23_old_wpms_160","abstraction-refinement_wt-downcast-antlr_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",61.040570,14.6404,40.7745,0,0,False,True,76306,"001.log"
2,"Y00","23_old_wpms_160","abstraction-refinement_wt-downcast-avrora_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",63.032664,10.4393,15.0262,0,0,False,True,46694,"002.log"
3,"Y00","23_old_wpms_160","abstraction-refinement_wt-downcast-hsqldb_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",61.520440,21.3523,26.2317,0,0,False,True,30280,"003.log"
4,"Y00","23_old_wpms_160","abstraction-refinement_wt-downcast-pmd_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",61.445011,19.9004,49.3543,0,0,False,True,4286,"004.log"
5,"Y00","23_old_wpms_160","abstraction-refinement_wt-downcast-xalan_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",61.066345,10.9767,22.7028,0,0,False,True,65534,"005.log"
6,"Y00","23_old_wpms_160","abstraction-refinement_wt-polysite-avrora_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",60.718167,9.21328,25.4199,0,0,False,True,51857,"006.log"
7,"Y00","23_old_wpms_160","abstraction-refinement_wt-polysite-bloat_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",62.071225,30.7359,59.9277,0,0,False,True,180,"007.log"
8,"Y00","23_old_wpms_160","abstraction-refinement_wt-polysite-hsqldb_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",61.620669,25.2519,31.1172,0,0,False,True,172545,"008.log"
9,"Y00","23_old_wpms_160","abstraction-refinement_wt-polysite-pmd_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",62.295133,17.1661,52.5901,0,0,False,True,188481,"009.log"
10,"Y00","23_old_wpms_160","abstraction-refinement_wt-polysite-xalan_old.wcnf",1,60,"fecf20cdf3f06b73172dace756c4441762f6999b0c43505981a0c56f3c38a67c",61.000906,13.3247,59.9785,0,0,False,True,114721,"010.log"
