Dataset,Model,ModelDirectory,InstanceKey,InstanceOriginal,FeasibleReported,FeasibleStrict300,BestCost,BestTimeSeconds,FirstFeasibleTimeSeconds,QualityReported,QualityStrict300,SourceFile,SourceFormat,DevelopmentExcluded,ParameterDevelopmentTrack,PrimaryHeldOut,InstanceBestCostReported,WinReported,UniqueWinReported,SharedWinReported,InstanceBestCostStrict300,WinStrict300,UniqueWinStrict300,SharedWinStrict300
23-pms-300s,SPB-MaxSAT-c-Band,Band,aes_mul_8_11_old,aes-mul_8_11_old.wcnf,True,True,64.0,1.153606,0.154405,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,64.0,True,False,True,64.0,True,False,True
23-pms-300s,SPB-MaxSAT-c-Band,Band,aes_mul_8_13_old,aes-mul_8_13_old.wcnf,True,True,60.0,1.846561,0.154118,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,60.0,True,False,True,60.0,True,False,True
23-pms-300s,SPB-MaxSAT-c-Band,Band,aes_mul_8_14_old,aes-mul_8_14_old.wcnf,True,True,56.0,5.068065,0.144521,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,56.0,True,False,True,56.0,True,False,True
23-pms-300s,SPB-MaxSAT-c-Band,Band,aes_mul_8_3_old,aes-mul_8_3_old.wcnf,True,True,36.0,0.273835,0.074108,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,36.0,True,False,True,36.0,True,False,True
23-pms-300s,SPB-MaxSAT-c-Band,Band,aes_mul_8_9_old,aes-mul_8_9_old.wcnf,True,True,42.0,0.557748,0.107273,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,42.0,True,False,True,42.0,True,False,True
23-pms-300s,SPB-MaxSAT-c-Band,Band,aes_sbox_8_old,aes-sbox_8_old.wcnf,True,True,300.0,99.070784,1.646185,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,288.0,False,False,False,288.0,False,False,False
23-pms-300s,SPB-MaxSAT-c-Band,Band,atcoss_atcoss_mesat_02_old,atcoss-atcoss_mesat_02_old.wcnf,True,True,50.0,114.367584,1.135158,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,50.0,True,False,True,50.0,True,False,True
23-pms-300s,SPB-MaxSAT-c-Band,Band,atcoss_atcoss_mesat_15_old,atcoss-atcoss_mesat_15_old.wcnf,False,False,,,,False,False,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,300.0,False,False,False,300.0,False,False,False
23-pms-300s,SPB-MaxSAT-c-Band,Band,atcoss_atcoss_sugar_05_old,atcoss-atcoss_sugar_05_old.wcnf,True,True,10.0,148.240715,2.407756,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,10.0,True,True,False,10.0,True,True,False
23-pms-300s,SPB-MaxSAT-c-Band,Band,atcoss_atcoss_sugar_15_old,atcoss-atcoss_sugar_15_old.wcnf,True,True,28.0,246.602795,139.4565,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,28.0,True,False,True,28.0,True,False,True
23-pms-300s,SPB-MaxSAT-c-Band,Band,bcp_su3_simp_genos_haps_9_old,bcp-SU3__simp-genos.haps.9_old.wcnf,True,True,106.0,0.730305,0.031245,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,106.0,True,False,True,106.0,True,False,True
23-pms-300s,SPB-MaxSAT-c-Band,Band,decision_tree_anneal_un_formula_0_8_2021_atleast_127_max_6_reduced_incomplete_tree_old,decision-tree-anneal-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree_old.wcnf,True,True,88.0,55.618363,2.125877,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,71.0,False,False,False,71.0,False,False,False
23-pms-300s,SPB-MaxSAT-c-Band,Band,decision_tree_australian_credit_un_formula_0_8_2021_atleast_127_max_6_reduced_incomplete_tree_old,decision-tree-australian-credit-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree_old.wcnf,True,True,57.0,102.863247,3.834825,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,54.0,False,False,False,54.0,False,False,False
23-pms-300s,SPB-MaxSAT-c-Band,Band,decision_tree_breast_cancer_un_formula_0_8_2021_atleast_127_max_6_reduced_incomplete_tree_old,decision-tree-breast-cancer-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree_old.wcnf,True,True,8.0,199.632108,2.309005,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,6.0,False,False,False,6.0,False,False,False
23-pms-300s,SPB-MaxSAT-c-Band,Band,decision_tree_breast_cancer_un_formula_0_8_2021_atleast_15_max_3_reduced_incomplete_tree_old,decision-tree-breast-cancer-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree_old.wcnf,True,True,19.0,216.667526,0.111876,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,19.0,True,False,True,19.0,True,False,True
23-pms-300s,SPB-MaxSAT-c-Band,Band,decision_tree_car_un_formula_0_8_2021_atleast_31_max_4_reduced_incomplete_tree_old,decision-tree-car-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree_old.wcnf,True,True,112.0,12.725647,0.166757,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,112.0,True,False,True,112.0,True,False,True
23-pms-300s,SPB-MaxSAT-c-Band,Band,decision_tree_car_un_formula_0_8_2021_atleast_63_max_5_reduced_incomplete_tree_old,decision-tree-car-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree_old.wcnf,True,True,77.0,156.558768,0.685871,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,77.0,True,False,True,77.0,True,False,True
23-pms-300s,SPB-MaxSAT-c-Band,Band,decision_tree_heart_cleveland_un_formula_0_8_2021_atleast_15_max_3_reduced_incomplete_tree_old,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree_old.wcnf,True,True,42.0,16.914102,0.154176,True,True,all_300s/Band/Band_23_pms_300s.xlsx,uniform-wrapper,False,False,True,31.0,False,False,False,31.0,False,False,False
