Dataset,Baseline,Pairs,ScopeFeasible,BaselineFeasible,DeltaFeasible,BothFeasible,ScopeOnlyFeasible,BaselineOnlyFeasible,NeitherFeasible,FeasibilityExactP,ScopeQualityWins,ScopeQualityLosses,QualityTies,QualityExactP,MedianRelativeImprovementPct,MedianRelativeImprovementChangedPct,FeasibilityHolmP,QualityHolmP
23-wpms-300s,NuWLS,160,159,104,55,104,55,0,1,5.551115123125783e-17,12,45,47,1.3127443164284713e-05,0.0,-2.014569095390722,,
23-wpms-300s,SATLike3.0,160,159,100,59,100,59,0,1,3.469446951953614e-18,48,45,7,0.8358461346314852,0.0,0.06142234345909117,,
23-wpms-300s,BandMaxSAT,160,159,99,60,99,60,0,1,1.734723475976807e-18,38,52,9,0.17024239504607377,-0.11976047904191617,-0.4400031034165882,,
23-wpms-300s,NuWLS-c-2023,160,159,159,0,159,0,0,1,1.0,15,125,14,8.894877270372545e-23,-7.27805279356712,-13.733538761597607,,
23-wpms-300s,NuWLS-c-FPS,160,159,159,0,159,0,0,1,1.0,22,110,22,2.8607361972411896e-15,-7.3390802873949,-15.584961398003397,,
23-wpms-300s,SPB-MaxSAT-c-FPS,160,159,159,0,159,0,0,1,1.0,17,124,13,2.9375609253232274e-21,-7.572664803325102,-14.328391391808355,,
23-wpms-300s,SPB-MaxSAT-c-Band,160,159,159,0,159,0,0,1,1.0,14,125,15,1.8892488299339863e-23,-7.940917129926625,-14.328391391808355,,
23-pms-300s,NuWLS,179,175,142,33,142,33,0,4,2.3283064365386963e-10,6,79,57,2.441642201786159e-17,-2.041294555679954,-11.627906976744185,,
23-pms-300s,SATLike3.0,179,175,119,56,119,56,0,4,2.7755575615628914e-17,39,59,21,0.054390558277088406,0.0,-5.409356725146199,,
23-pms-300s,BandMaxSAT,179,175,140,35,140,35,0,4,5.820766091346741e-11,48,69,23,0.063995910646795,0.0,-5.084745762711864,,
23-pms-300s,NuWLS-c-2023,179,175,172,3,172,3,0,4,0.25,16,133,23,3.8907579493877545e-24,-17.924219261847565,-25.495750708215297,,
23-pms-300s,NuWLS-c-FPS,179,175,172,3,172,3,0,4,0.25,20,126,26,5.407411042600245e-20,-15.250965250965251,-25.0,,
23-pms-300s,SPB-MaxSAT-c-FPS,179,175,173,2,173,2,0,4,0.5,14,138,21,8.462475337125398e-27,-18.42105263157895,-24.404761904761905,,
23-pms-300s,SPB-MaxSAT-c-Band,179,175,170,5,170,5,0,4,0.0625,15,137,18,7.854293204336358e-26,-17.409345119971135,-24.404761904761905,,
24-wpms-300s,NuWLS,229,225,171,54,171,54,0,4,1.1102230246251565e-16,10,80,81,1.0521598690598086e-14,0.0,-3.0375779425126517,,
24-wpms-300s,SATLike3.0,229,225,173,52,173,52,0,4,4.440892098500626e-16,70,77,26,0.6208422313416992,0.0,-0.11234502405164305,,
24-wpms-300s,BandMaxSAT,229,225,171,54,171,54,0,4,1.1102230246251565e-16,76,71,24,0.7415919424461604,0.0,0.1287001287001287,,
24-wpms-300s,NuWLS-c-2023,229,225,225,0,225,0,0,4,1.0,19,167,34,9.6297109631696e-31,-5.001796463256968,-9.212215700660309,,
24-wpms-300s,NuWLS-c-FPS,229,225,226,-1,225,0,1,3,1.0,25,163,32,5.20755661325545e-26,-3.7148770205461332,-8.479661726760602,,
24-wpms-300s,SPB-MaxSAT-c-FPS,229,225,225,0,225,0,0,4,1.0,22,169,29,2.8172871318604095e-29,-5.390415357305928,-10.252951096121416,,
24-wpms-300s,SPB-MaxSAT-c-Band,229,225,225,0,225,0,0,4,1.0,16,172,32,3.3883191487016303e-34,-5.723230934922526,-11.050400650330971,,
24-pms-300s,NuWLS,216,213,165,48,165,48,0,3,7.105427357601002e-15,9,69,87,1.3812783597891096e-12,0.0,-9.863382895511943,,
24-pms-300s,SATLike3.0,216,213,149,64,149,64,0,3,1.0842021724855044e-19,43,50,56,0.5340598617346067,0.0,-0.7194244604316546,,
24-pms-300s,BandMaxSAT,216,213,161,52,161,52,0,3,4.440892098500626e-16,49,55,57,0.624143515844679,0.0,-1.1454346637506834,,
24-pms-300s,NuWLS-c-2023,216,213,211,2,211,2,0,3,0.5,16,135,59,1.215506130974833e-24,-8.221198156682028,-20.689655172413794,,
24-pms-300s,NuWLS-c-FPS,216,213,212,1,212,1,0,3,1.0,25,126,60,2.039779018297681e-17,-7.4825174825174825,-21.725571725571726,,
24-pms-300s,SPB-MaxSAT-c-FPS,216,213,211,2,211,2,0,3,0.5,19,136,55,5.462119416967247e-23,-8.91887268528418,-21.05263157894737,,
24-pms-300s,SPB-MaxSAT-c-Band,216,213,212,1,212,1,0,3,1.0,15,139,56,2.4078229277102385e-26,-9.523809523809524,-22.2972972972973,,
Primary held-out,NuWLS,596,587,458,129,458,129,0,9,2.938735877055719e-39,19,225,214,7.089183692806759e-46,0.0,-7.207792207792208,1.4693679385278594e-38,2.1267551078420277e-45
Primary held-out,SATLike3.0,596,587,421,166,421,166,0,9,2.1382117680737565e-50,140,178,103,0.03783283671242075,0.0,-0.8579135085917178,1.4967482376516296e-49,0.0756656734248415
Primary held-out,BandMaxSAT,596,587,454,133,454,133,0,9,1.8367099231598242e-40,160,190,104,0.1209896479481403,0.0,-1.077485690853055,1.1020259538958945e-39,0.1209896479481403
Primary held-out,NuWLS-c-2023,596,587,582,5,582,5,0,9,0.0625,51,411,114,5.542473506396918e-71,-8.571428571428571,-18.512851897184824,0.1875,2.771236753198459e-70
Primary held-out,NuWLS-c-FPS,596,587,584,3,583,4,1,8,0.375,67,393,117,3.5866269741786456e-57,-7.409948542024013,-17.391304347826086,0.375,1.4346507896714582e-56
Primary held-out,SPB-MaxSAT-c-FPS,596,587,583,4,583,4,0,9,0.125,53,419,105,1.1054395057134247e-71,-9.352517985611511,-18.848684210526315,0.25,6.632637034280548e-71
Primary held-out,SPB-MaxSAT-c-Band,596,587,581,6,581,6,0,9,0.03125,43,425,106,4.364547323901248e-80,-9.375,-19.444444444444443,0.125,3.0551831267308735e-79
All four tracks,NuWLS,784,772,582,190,582,190,0,12,1.2744735289059618e-57,37,273,272,1.30043134988885e-45,0.0,-5.390415357305928,6.372367644529809e-57,3.90129404966655e-45
All four tracks,SATLike3.0,784,772,541,231,541,231,0,12,5.795634610449096e-70,200,231,110,0.14835877029850053,0.0,-0.6431709483881175,4.056944227314367e-69,0.20370376244711352
