Dataset,Instances,Model,Feasible,FeasiblePct,Strict300Feasible,Strict300FeasiblePct,Wins,UniqueWins,SharedWins,MeanBestTimeOnWinsSeconds,MedianBestTimeOnWinsSeconds,Strict300Wins,Strict300UniqueWins,Strict300SharedWins,Strict300MeanBestTimeOnWinsSeconds
23-wpms-300s,160,SCOPE-MaxSAT,159,99.375,159,99.375,14,0,14,43.00068207142857,1.1840035,14,0,14,43.00068207142857
23-wpms-300s,160,NuWLS,104,65.0,104,65.0,31,11,20,91.27290322580646,19.1,31,11,20,91.27290322580646
23-wpms-300s,160,SATLike3.0,100,62.5,100,62.5,9,4,5,63.20666666666667,38.56,9,4,5,63.20666666666667
23-wpms-300s,160,BandMaxSAT,99,61.875,99,61.875,13,6,7,45.174615384615386,24.03,13,6,7,45.174615384615386
23-wpms-300s,160,NuWLS-c-2023,159,99.375,159,99.375,66,11,55,65.52178228787878,18.123551499999998,66,11,55,65.52178228787878
23-wpms-300s,160,NuWLS-c-FPS,159,99.375,159,99.375,62,18,44,87.00640801612904,62.138973,62,18,44,87.00640801612904
23-wpms-300s,160,SPB-MaxSAT-c-FPS,159,99.375,159,99.375,72,14,58,61.635042597222224,15.4802125,72,14,58,61.635042597222224
23-wpms-300s,160,SPB-MaxSAT-c-Band,159,99.375,159,99.375,90,30,60,69.57622902222222,21.239848000000002,90,30,60,69.57622902222222
23-pms-300s,179,SCOPE-MaxSAT,175,97.76536312849161,175,97.76536312849161,29,5,24,46.44366624137931,4.718354,29,5,24,46.44366624137931
23-pms-300s,179,NuWLS,142,79.32960893854748,142,79.32960893854748,54,8,46,70.51481481481481,34.245,54,8,46,70.51481481481481
23-pms-300s,179,SATLike3.0,119,66.4804469273743,119,66.4804469273743,23,0,23,32.88173913043478,4.71,23,0,23,32.88173913043478
23-pms-300s,179,BandMaxSAT,140,78.2122905027933,140,78.2122905027933,33,4,29,34.056060606060605,2.3,33,4,29,34.056060606060605
23-pms-300s,179,NuWLS-c-2023,172,96.08938547486034,172,96.08938547486034,95,12,83,69.42833565263157,22.505325,95,12,83,69.42833565263157
