Dataset,Instances,Model,Feasible,FeasiblePct,Wins,UniqueWins,SharedWins,MeanBestTimeOnWinsSeconds,MedianBestTimeOnWinsSeconds,Strict60Wins,Strict60UniqueWins,Strict60SharedWins,Strict60MeanBestTimeOnWinsSeconds
23-wpms-60s,160,SCOPE-MaxSAT,158,98.75,19,7,12,16.71396094736842,6.026246,19,7,12,16.71396094736842
23-wpms-60s,160,NuWLS,104,65.0,22,6,16,12.350454545454545,1.4700000000000002,22,6,16,12.350454545454545
23-wpms-60s,160,SATLike3.0,98,61.25,11,5,6,21.885454545454547,12.96,11,5,6,21.885454545454547
23-wpms-60s,160,BandMaxSAT,99,61.875,11,4,7,20.757272727272728,16.07,11,4,7,20.757272727272728
23-wpms-60s,160,NuWLS-c-2023,155,96.875,62,21,41,18.683809338709672,7.2973,62,21,41,18.683809338709672
23-wpms-60s,160,NuWLS-c-FPS,155,96.875,48,21,27,21.434539708333332,12.170887,48,21,27,21.434539708333332
23-wpms-60s,160,SPB-MaxSAT-c-FPS,155,96.875,58,16,42,18.05507248275862,6.319786000000001,58,16,42,18.05507248275862
23-wpms-60s,160,SPB-MaxSAT-c-Band,155,96.875,71,31,40,20.811266014084513,12.341714,71,31,40,20.811266014084513
23-pms-60s,179,SCOPE-MaxSAT,166,92.73743016759776,30,5,25,14.521256133333333,4.25029,30,5,25,14.521256133333333
23-pms-60s,179,NuWLS,141,78.77094972067039,43,8,35,17.900697674418605,11.55,43,8,35,17.900697674418605
23-pms-60s,179,SATLike3.0,112,62.56983240223464,20,3,17,12.4965,1.7149999999999999,20,3,17,12.4965
23-pms-60s,179,BandMaxSAT,140,78.2122905027933,23,3,20,6.872608695652174,0.63,23,3,20,6.872608695652174
23-pms-60s,179,NuWLS-c-2023,167,93.29608938547486,88,15,73,17.65687628409091,9.399976500000001,88,15,73,17.65687628409091
23-pms-60s,179,NuWLS-c-FPS,167,93.29608938547486,75,9,66,20.556928466666673,14.766371,75,9,66,20.556928466666673
23-pms-60s,179,SPB-MaxSAT-c-FPS,166,92.73743016759776,88,14,74,17.859396375,10.5122035,88,14,74,17.859396375
23-pms-60s,179,SPB-MaxSAT-c-Band,167,93.29608938547486,89,18,71,18.938836146067416,9.305792,89,18,71,18.938836146067416
24-wpms-60s,229,SCOPE-MaxSAT,225,98.2532751091703,63,9,54,16.40654731746032,10.175748,63,9,54,16.40654731746032
24-wpms-60s,229,NuWLS,169,73.79912663755458,51,0,51,14.54607843137255,10.66,51,0,51,14.54607843137255
24-wpms-60s,229,SATLike3.0,168,73.36244541484716,20,1,19,8.491499999999998,1.2349999999999999,20,1,19,8.491499999999998
24-wpms-60s,229,BandMaxSAT,163,71.17903930131004,22,3,19,5.24909090909091,1.295,22,3,19,5.24909090909091
24-wpms-60s,229,NuWLS-c-2023,220,96.06986899563319,108,17,91,13.943299657407408,7.9476474999999995,108,17,91,13.943299657407408
24-wpms-60s,229,NuWLS-c-FPS,220,96.06986899563319,93,25,68,19.71666720430107,15.869047,93,25,68,19.71666720430107
