Scope,Model,Instances,Feasible60,Feasible300,DeltaFeasible300Minus60,Wins60,Wins300,DeltaWins300Minus60
23-wpms-300s,SCOPE-MaxSAT,160,158,159,1,19,14,-5
23-wpms-300s,NuWLS,160,104,104,0,22,31,9
23-wpms-300s,SATLike3.0,160,98,100,2,11,9,-2
23-wpms-300s,BandMaxSAT,160,99,99,0,11,13,2
23-wpms-300s,NuWLS-c-2023,160,155,159,4,62,66,4
23-wpms-300s,NuWLS-c-FPS,160,155,159,4,48,62,14
23-wpms-300s,SPB-MaxSAT-c-FPS,160,155,159,4,58,72,14
23-wpms-300s,SPB-MaxSAT-c-Band,160,155,159,4,71,90,19
23-pms-300s,SCOPE-MaxSAT,179,166,175,9,30,29,-1
23-pms-300s,NuWLS,179,141,142,1,43,54,11
23-pms-300s,SATLike3.0,179,112,119,7,20,23,3
23-pms-300s,BandMaxSAT,179,140,140,0,23,33,10
23-pms-300s,NuWLS-c-2023,179,167,172,5,88,95,7
23-pms-300s,NuWLS-c-FPS,179,167,172,5,75,84,9
23-pms-300s,SPB-MaxSAT-c-FPS,179,166,173,7,88,98,10
23-pms-300s,SPB-MaxSAT-c-Band,179,167,171,4,89,103,14
24-wpms-300s,SCOPE-MaxSAT,229,225,225,0,63,37,-26
24-wpms-300s,NuWLS,229,169,171,2,51,66,15
24-wpms-300s,SATLike3.0,229,168,173,5,20,28,8
24-wpms-300s,BandMaxSAT,229,163,171,8,22,29,7
24-wpms-300s,NuWLS-c-2023,229,220,225,5,108,123,15
24-wpms-300s,NuWLS-c-FPS,229,220,226,6,93,112,19
24-wpms-300s,SPB-MaxSAT-c-FPS,229,220,225,5,124,128,4
24-wpms-300s,SPB-MaxSAT-c-Band,229,220,225,5,124,148,24
24-pms-300s,SCOPE-MaxSAT,216,202,213,11,62,65,3
24-pms-300s,NuWLS,216,164,165,1,75,85,10
24-pms-300s,SATLike3.0,216,146,149,3,55,64,9
24-pms-300s,BandMaxSAT,216,161,161,0,55,67,12
24-pms-300s,NuWLS-c-2023,216,208,211,3,129,128,-1
24-pms-300s,NuWLS-c-FPS,216,208,212,4,121,139,18
24-pms-300s,SPB-MaxSAT-c-FPS,216,207,211,4,118,133,15
24-pms-300s,SPB-MaxSAT-c-Band,216,208,212,4,133,147,14
Primary held-out,SCOPE-MaxSAT,596,567,587,20,155,131,-24
Primary held-out,NuWLS,596,454,458,4,169,204,35
Primary held-out,SATLike3.0,596,408,421,13,94,114,20
Primary held-out,BandMaxSAT,596,450,454,4,100,127,27
Primary held-out,NuWLS-c-2023,596,569,582,13,311,332,21
Primary held-out,NuWLS-c-FPS,596,569,584,15,276,320,44
Primary held-out,SPB-MaxSAT-c-FPS,596,567,583,16,314,340,26
Primary held-out,SPB-MaxSAT-c-Band,596,569,582,13,328,379,51
All four tracks,SCOPE-MaxSAT,784,751,772,21,174,145,-29
All four tracks,NuWLS,784,578,582,4,191,236,45
All four tracks,SATLike3.0,784,524,541,17,106,124,18
All four tracks,BandMaxSAT,784,563,571,8,111,142,31
All four tracks,NuWLS-c-2023,784,750,767,17,387,412,25
All four tracks,NuWLS-c-FPS,784,750,769,19,337,397,60
All four tracks,SPB-MaxSAT-c-FPS,784,748,768,20,388,431,43
All four tracks,SPB-MaxSAT-c-Band,784,750,767,17,417,488,71
