Index,Set,Instance,Model,Kernel,ControllerEnabled,Seed,CutoffSeconds,CCEHCProbability,CCEHCSmoothProbability,SolverSHA256,VerifierSHA256,ExternalSeconds,InternalSeconds,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,SolverExitCode,VerifierExitCode,EarlyExit,HasVerifiedSolution,BestCost,SelectedCandidate,Log
1,23_old_wpms_160,abstraction-refinement_wt-downcast-antlr_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,61.047318,61.043654,,,0,1,FALSE,FALSE,,host-final-output,001.log
2,23_old_wpms_160,abstraction-refinement_wt-downcast-avrora_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.373702,60.369859,,,0,1,FALSE,FALSE,,host-final-output,002.log
3,23_old_wpms_160,abstraction-refinement_wt-downcast-hsqldb_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,61.057101,61.053392,,,0,1,FALSE,FALSE,,host-final-output,003.log
4,23_old_wpms_160,abstraction-refinement_wt-downcast-pmd_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.959938,60.955771,,,0,1,FALSE,FALSE,,host-final-output,004.log
5,23_old_wpms_160,abstraction-refinement_wt-downcast-xalan_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.383919,60.379781,,,0,1,FALSE,FALSE,,host-final-output,005.log
6,23_old_wpms_160,abstraction-refinement_wt-polysite-avrora_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.371024,60.367235,,,0,1,FALSE,FALSE,,host-final-output,006.log
7,23_old_wpms_160,abstraction-refinement_wt-polysite-bloat_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,62.30904,62.305221,,,0,1,FALSE,FALSE,,host-final-output,007.log
8,23_old_wpms_160,abstraction-refinement_wt-polysite-hsqldb_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,61.461482,61.457225,,,0,1,FALSE,FALSE,,host-final-output,008.log
9,23_old_wpms_160,abstraction-refinement_wt-polysite-pmd_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.946961,60.943158,,,0,1,FALSE,FALSE,,host-final-output,009.log
10,23_old_wpms_160,abstraction-refinement_wt-polysite-xalan_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,61.824949,61.820636,,,0,1,FALSE,FALSE,,host-final-output,010.log
11,23_old_wpms_160,causal-discovery_wt-causal_alarm_9_1000_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,1.193476,1.189623,0.185995,0.360866,136,1,TRUE,FALSE,,host-final-output,011.log
12,23_old_wpms_160,causal-discovery_wt-causal_carpo_8_1000_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,0.910669,0.907248,0.075805,0.146723,136,1,TRUE,FALSE,,host-final-output,012.log
13,23_old_wpms_160,causal-discovery_wt-causal_Link_10_10000_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,3.551281,3.547636,0.515048,2.601419,136,1,TRUE,FALSE,,host-final-output,013.log
14,23_old_wpms_160,causal-discovery_wt-causal_Link_10_1000_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,2.412335,2.408724,0.558894,1.593635,136,1,TRUE,FALSE,,host-final-output,014.log
15,23_old_wpms_160,causal-discovery_wt-causal_Link_9_100_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,1.112442,1.108875,0.189537,0.312952,136,1,TRUE,FALSE,,host-final-output,015.log
16,23_old_wpms_160,causal-discovery_wt-causal_Mushroom_7_1000_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,0.820121,0.816581,0.054988,0.071693,136,1,TRUE,FALSE,,host-final-output,016.log
17,23_old_wpms_160,causal-discovery_wt-causal_Pigs_6_1000_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,1.041789,1.038164,0.118066,0.161162,136,1,TRUE,FALSE,,host-final-output,017.log
18,23_old_wpms_160,causal-discovery_wt-causal_Water_10_1000_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,2.956081,2.952646,0.606248,2.071344,136,1,TRUE,FALSE,,host-final-output,018.log
19,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.032845,60.028992,4.486863,52.027543,0,0,FALSE,TRUE,30495383,host-final-output,019.log
20,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_UNARY_N290_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.264433,60.260666,,,0,1,FALSE,FALSE,,host-final-output,020.log
21,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N220_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.018791,60.014595,0.551369,59.546178,0,0,FALSE,TRUE,109833302,host-final-output,021.log
22,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N240_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.020518,60.016625,0.744241,52.085167,0,0,FALSE,TRUE,142936827,host-final-output,022.log
23,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N380_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.063477,60.024807,4.125298,56.278541,0,0,FALSE,TRUE,339080928,host-final-output,023.log
24,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_UNARY_N220_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.164849,60.161588,,,0,1,FALSE,FALSE,,host-final-output,024.log
25,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.231318,60.227693,6.584245,58.164292,0,0,FALSE,TRUE,151710600,host-final-output,025.log
26,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_UNARY_N220_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.213618,60.210346,,,0,1,FALSE,FALSE,,host-final-output,026.log
27,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_BINARY_N320_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.016126,60.012617,0.872125,56.266281,0,0,FALSE,TRUE,126743128,host-final-output,027.log
28,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_UNARY_N250_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.158027,60.154396,,,0,1,FALSE,FALSE,,host-final-output,028.log
29,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.114146,60.110558,,,0,1,FALSE,FALSE,,host-final-output,029.log
30,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.100276,60.096941,,,0,1,FALSE,FALSE,,host-final-output,030.log
31,23_old_wpms_160,decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.043907,60.040549,,,0,1,FALSE,FALSE,,host-final-output,031.log
32,23_old_wpms_160,decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.076274,60.072771,,,0,1,FALSE,FALSE,,host-final-output,032.log
33,23_old_wpms_160,decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.034964,60.031677,,,0,1,FALSE,FALSE,,host-final-output,033.log
34,23_old_wpms_160,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.216983,60.213726,,,0,1,FALSE,FALSE,,host-final-output,034.log
35,23_old_wpms_160,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.022814,60.019333,,,0,1,FALSE,FALSE,,host-final-output,035.log
36,23_old_wpms_160,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.044857,60.04145,,,0,1,FALSE,FALSE,,host-final-output,036.log
37,23_old_wpms_160,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_6_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.057206,60.053958,,,0,1,FALSE,FALSE,,host-final-output,037.log
