Index,Set,Instance,Model,Kernel,ControllerEnabled,Seed,CutoffSeconds,CCEHCProbability,CCEHCSmoothProbability,SolverSHA256,VerifierSHA256,ExternalSeconds,InternalSeconds,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,SolverExitCode,VerifierExitCode,EarlyExit,HasVerifiedSolution,BestCost,SelectedCandidate,Log
1,23_old_wpms_160,abstraction-refinement_wt-downcast-antlr_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,67.189296,67.139056,,,2,1,FALSE,FALSE,,host-final-output,001.log
2,23_old_wpms_160,abstraction-refinement_wt-downcast-avrora_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.719778,60.676013,59.220143,59.220143,0,0,FALSE,TRUE,52209,retained hard-SAT fallback,002.log
3,23_old_wpms_160,abstraction-refinement_wt-downcast-hsqldb_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,63.061349,62.996152,,,2,1,FALSE,FALSE,,host-final-output,003.log
4,23_old_wpms_160,abstraction-refinement_wt-downcast-pmd_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,63.369912,63.303799,,,2,1,FALSE,FALSE,,host-final-output,004.log
5,23_old_wpms_160,abstraction-refinement_wt-downcast-xalan_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,66.700394,66.656907,,,2,1,FALSE,FALSE,,host-final-output,005.log
6,23_old_wpms_160,abstraction-refinement_wt-polysite-avrora_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,62.569431,62.524834,61.27653,61.27653,0,0,FALSE,TRUE,57355,retained hard-SAT fallback,006.log
7,23_old_wpms_160,abstraction-refinement_wt-polysite-bloat_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,62.987898,62.919144,,,2,1,FALSE,FALSE,,host-final-output,007.log
8,23_old_wpms_160,abstraction-refinement_wt-polysite-hsqldb_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,62.432553,62.36507,,,2,1,FALSE,FALSE,,host-final-output,008.log
9,23_old_wpms_160,abstraction-refinement_wt-polysite-pmd_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,67.389304,67.326263,,,2,1,FALSE,FALSE,,host-final-output,009.log
10,23_old_wpms_160,abstraction-refinement_wt-polysite-xalan_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,66.788545,66.73682,,,2,1,FALSE,FALSE,,host-final-output,010.log
