ConfigID,Instance,BaseFeasible,ConfigFeasible,BaseBestCost,ConfigBestCost,BaseFirstFeasibleTimeSeconds,ConfigFirstFeasibleTimeSeconds,BasePaperTableTimeSeconds,ConfigPaperTableTimeSeconds
BASE,MaxSATQueriesinInterpretableClassifiers_wt-credit_train_8_CNF_5_20_old.wcnf,True,True,96480.0,96480.0,15.021479,15.021479,43.861201,43.861201
BASE,MaxSATQueriesinInterpretableClassifiers_wt-pima_train_6_CNF_3_20_old.wcnf,True,True,3310.0,3310.0,0.044567,0.044567,33.395268,33.395268
BASE,MaxSATQueriesinInterpretableClassifiers_wt-toms_test_2_CNF_3_20_old.wcnf,True,True,195.0,195.0,0.609756,0.609756,7.252474,7.252474
BASE,MinimumWeightDominatingSetProblem_wt-bn-human-BNU_1_0025865_session_1-bg_old.wcnf,True,True,140539244.0,140539244.0,6.239282,6.239282,6.239282,6.239282
BASE,MinimumWeightDominatingSetProblem_wt-channel-500x100x100-b050_old.wcnf,True,True,478624478.0,478624478.0,21.004552,21.004552,60.487852,60.487852
BASE,MinimumWeightDominatingSetProblem_wt-delaunay_n24_old.wcnf,True,True,1685918983.0,1685918983.0,50.026828,50.026828,62.178028,62.178028
BASE,MinimumWeightDominatingSetProblem_wt-hugebubbles-00020_old.wcnf,True,True,2130406259.0,2130406259.0,31.237817,31.237817,31.237817,31.237817
BASE,MinimumWeightDominatingSetProblem_wt-inf-road-usa_old.wcnf,True,True,2406704625.0,2406704625.0,26.741276,26.741276,26.741276,26.741276
BASE,MinimumWeightDominatingSetProblem_wt-rgg_n_2_24_s0_old.wcnf,True,True,1686108752.0,1686108752.0,45.573177,45.573177,45.573177,45.573177
BASE,MinimumWeightDominatingSetProblem_wt-sc-rel9_old.wcnf,True,True,593056574.0,593056574.0,35.612281,35.612281,61.275281,61.275281
BASE,MinimumWeightDominatingSetProblem_wt-soc-livejournal-user-groups_old.wcnf,True,True,752647274.0,752647274.0,26.920119,26.920119,26.920119,26.920119
BASE,MinimumWeightDominatingSetProblem_wt-web-wikipedia2009_old.wcnf,True,True,174611880.0,174611880.0,11.480486,11.480486,60.605716,60.605716
BASE,ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.1_8_old.wcnf,True,True,47682.0,47682.0,2.163202,2.163202,12.370532,12.370532
BASE,ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.2_0_old.wcnf,True,True,74189.0,74189.0,2.160493,2.160493,9.582683,9.582683
BASE,ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.5_1_old.wcnf,True,True,144463.0,144463.0,3.119143,3.119143,10.266053,10.266053
BASE,ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.6_8_old.wcnf,True,True,159871.0,159871.0,2.134829,2.134829,11.652069,11.652069
BASE,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.7_2_old.wcnf,True,True,277373.0,277373.0,12.558033,12.558033,58.706988,58.706988
BASE,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.7_6_old.wcnf,True,True,252179.0,252179.0,0.029064,0.029064,3.486914,3.486914
BASE,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_1_old.wcnf,True,True,350793.0,350793.0,0.027103,0.027103,10.317219,10.317219
BASE,ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.9_6_old.wcnf,True,True,282321.0,282321.0,0.051007,0.051007,0.191686,0.191686
BASE,ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.1_1_old.wcnf,True,True,63653.0,63653.0,2.951354,2.951354,11.422634,11.422634
BASE,ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.4_7_old.wcnf,True,True,234414.0,234414.0,4.696812,4.696812,11.854412,11.854412
BASE,ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_4_old.wcnf,True,True,215348.0,215348.0,3.291607,3.291607,13.458707,13.458707
BASE,ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_5_old.wcnf,True,True,198362.0,198362.0,3.076692,3.076692,12.371532,12.371532
BASE,ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_7_old.wcnf,True,True,263585.0,263585.0,3.979872,3.979872,9.758902,9.758902
BASE,abstraction-refinement_wt-downcast-antlr_old.wcnf,True,True,79566.0,79566.0,9.610021,9.610021,9.610021,9.610021
BASE,abstraction-refinement_wt-downcast-avrora_old.wcnf,True,True,49759.0,49759.0,14.415457,14.415457,18.520547,18.520547
BASE,abstraction-refinement_wt-downcast-hsqldb_old.wcnf,True,True,32293.0,32293.0,31.648643,31.648643,40.549243,40.549243
BASE,abstraction-refinement_wt-downcast-pmd_old.wcnf,True,True,6287.0,6287.0,31.192836,31.192836,41.553736,41.553736
BASE,abstraction-refinement_wt-downcast-xalan_old.wcnf,True,True,65593.0,65593.0,16.6016,16.6016,59.13149,59.13149
BASE,abstraction-refinement_wt-polysite-avrora_old.wcnf,True,True,55020.0,55020.0,16.46761,16.46761,20.44499,20.44499
BASE,abstraction-refinement_wt-polysite-bloat_old.wcnf,True,True,2397.0,2397.0,45.862395,45.862395,61.341495,61.341495
BASE,abstraction-refinement_wt-polysite-hsqldb_old.wcnf,True,True,177778.0,177778.0,14.378859,14.378859,14.378859,14.378859
BASE,abstraction-refinement_wt-polysite-pmd_old.wcnf,True,True,190826.0,190826.0,26.473427,26.473427,34.166027,34.166027
BASE,abstraction-refinement_wt-polysite-xalan_old.wcnf,True,True,117742.0,117742.0,22.222937,22.222937,27.096837,27.096837
BASE,causal-discovery_wt-causal_Link_10_10000_old.wcnf,True,True,39112847.0,39112847.0,3.546758,3.546758,14.887858,14.887858
BASE,causal-discovery_wt-causal_Link_10_1000_old.wcnf,True,True,33562494.0,33562494.0,3.653289,3.653289,30.145389,30.145389
BASE,causal-discovery_wt-causal_Link_9_100_old.wcnf,True,True,3242187.0,3242187.0,1.996114,1.996114,1.996114,1.996114
BASE,causal-discovery_wt-causal_Mushroom_7_1000_old.wcnf,True,True,9414169.0,9414169.0,0.1554,0.1554,17.869041,17.869041
BASE,causal-discovery_wt-causal_Pigs_6_1000_old.wcnf,True,True,35110976.0,35110976.0,0.604325,0.604325,0.604325,0.604325
BASE,causal-discovery_wt-causal_Water_10_1000_old.wcnf,True,True,45193159.0,45193159.0,3.237911,3.237911,11.619061,11.619061
BASE,causal-discovery_wt-causal_alarm_9_1000_old.wcnf,True,True,36049513.0,36049513.0,1.268197,1.268197,10.24051,10.24051
BASE,causal-discovery_wt-causal_carpo_8_1000_old.wcnf,True,True,2244087.0,2244087.0,0.460445,0.460445,59.12291,59.12291
BASE,correlation-clustering_wt-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200_old.wcnf,True,True,7014701.0,7014701.0,0.449744,0.449744,7.573165,7.573165
BASE,correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_UNARY_N290_old.wcnf,True,True,32090014.0,32090014.0,4.987195,4.987195,6.811545,6.811545
BASE,correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N220_old.wcnf,True,True,14004102.0,14004102.0,0.195893,0.195893,8.168712,8.168712
BASE,correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N240_old.wcnf,True,True,16116883.0,16116883.0,0.206399,0.206399,8.4641,8.4641
BASE,correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N380_old.wcnf,True,True,39198852.0,39198852.0,0.516161,0.516161,12.039557,12.039557
BASE,correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_UNARY_N220_old.wcnf,True,True,21300102.0,21300102.0,2.815447,2.815447,3.672867,3.672867
BASE,correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280_old.wcnf,True,True,185255761.0,185255761.0,9.352062,9.352062,30.006912,30.006912
BASE,correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_UNARY_N220_old.wcnf,True,True,19154505.0,19154505.0,2.514262,2.514262,4.591722,4.591722
BASE,correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_BINARY_N320_old.wcnf,True,True,14733167.0,14733167.0,0.208796,0.208796,7.974472,7.974472
BASE,correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_UNARY_N250_old.wcnf,True,True,11103273.0,11103273.0,2.533845,2.533845,11.481845,11.481845
BASE,correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200_old.wcnf,True,True,75201247.0,75201247.0,2.389101,2.389101,2.576081,2.576081
BASE,correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200_old.wcnf,True,True,86276967.0,86276967.0,3.327337,3.327337,8.202637,8.202637
BASE,decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3_old.wcnf,True,True,355.0,355.0,1.553209,1.553209,3.154289,3.154289
BASE,decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5_old.wcnf,True,True,762.0,762.0,1.528031,1.528031,8.742101,8.742101
BASE,decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5_old.wcnf,True,True,575.0,575.0,2.22725,2.22725,4.0739,4.0739
BASE,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2_old.wcnf,True,True,139.0,139.0,3.043973,3.043973,3.043973,3.043973
BASE,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4_old.wcnf,True,True,138.0,138.0,0.31645,0.31645,0.501206,0.501206
BASE,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4_old.wcnf,True,True,146.0,146.0,0.730533,0.730533,1.028816,1.028816
BASE,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_6_old.wcnf,True,True,240.0,240.0,0.759052,0.759052,1.454042,1.454042
BASE,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2_old.wcnf,True,True,113.0,113.0,3.559732,3.559732,5.835292,5.835292
BASE,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4_old.wcnf,True,True,212.0,212.0,4.117007,4.117007,4.258837,4.258837
BASE,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2_old.wcnf,True,True,84.0,84.0,0.138589,0.138589,4.743873,4.743873
BASE,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4_old.wcnf,True,True,155.0,155.0,0.272315,0.272315,4.112743,4.112743
BASE,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6_old.wcnf,True,True,338.0,338.0,0.812037,0.812037,1.644059,1.644059
BASE,decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2_old.wcnf,True,True,335.0,335.0,0.280565,0.280565,0.432684,0.432684
BASE,decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_3_old.wcnf,True,True,443.0,443.0,0.324483,0.324483,0.400081,0.400081
BASE,decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_2_old.wcnf,True,True,286.0,286.0,0.444517,0.444517,0.444517,0.444517
BASE,drmx-cryptogen_wt-geffe128_7_old.wcnf,True,True,811.0,811.0,0.019867,0.019867,29.304254,29.304254
BASE,generalized-ising_wt-IS11_5.0.5.0.0.5_softer_periodic_old.wcnf,True,True,112229069992697.0,112229069992697.0,0.051307,0.051307,0.668252,0.668252
BASE,generalized-ising_wt-IS12_5.0.5.0.0.5_softer_periodic_old.wcnf,True,True,113171466486232.0,113171466486232.0,0.233224,0.233224,0.239781,0.239781
BASE,generalized-ising_wt-IS13_5.0.5.0.0.5_softer_periodic_old.wcnf,True,True,119401387482250.0,119401387482250.0,0.081375,0.081375,0.085178,0.085178
BASE,generalized-ising_wt-IS15_5.0.5.0.0.5_softer_periodic_old.wcnf,True,True,114658059944605.0,114658059944605.0,0.106127,0.106127,0.111152,0.111152
BASE,generalized-ising_wt-IS16_5.0.5.0.0.5_softer_periodic_old.wcnf,True,True,115258059944605.0,115258059944605.0,0.381611,0.381611,6.466168,6.466168
BASE,generalized-ising_wt-IS17_5.0.5.0.0.5_softer_periodic_old.wcnf,True,True,115902780531937.0,115902780531937.0,0.058803,0.058803,14.651764,14.651764
BASE,generalized-ising_wt-IS20_5.0.5.0.0.5_softer_periodic_old.wcnf,True,True,119388436533623.0,119388436533623.0,0.079473,0.079473,0.120177,0.120177
BASE,generalized-ising_wt-IS22_5.0.5.0.0.5_softer_periodic_old.wcnf,True,True,119112776308211.0,119112776308211.0,0.048958,0.048958,0.059808,0.059808
BASE,generalized-ising_wt-IS23_5.0.5.0.0.5_softer_periodic_old.wcnf,True,True,118663520151734.0,118663520151734.0,0.050812,0.050812,0.113351,0.113351
BASE,generalized-ising_wt-IS3_5.0.5.0.0.5_softer_periodic_old.wcnf,True,True,116804575996363.0,116804575996363.0,0.136658,0.136658,6.525039,6.525039
BASE,generalized-ising_wt-IS4_5.0.5.0.0.5_softer_periodic_old.wcnf,True,True,115857504490177.0,115857504490177.0,0.080799,0.080799,0.119734,0.119734
