Instance,Seed,CutoffSeconds,HasVerifiedSolution,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,BestCost,ModelName,KernelName,ControllerEnabled,Feasible
abstraction-refinement_wt-downcast-antlr_old.wcnf,1,60,True,14.4102,38.1171,76306.0,Host-NuWLS,NuWLS,False,True
abstraction-refinement_wt-downcast-avrora_old.wcnf,1,60,True,10.5337,15.4202,46694.0,Host-NuWLS,NuWLS,False,True
abstraction-refinement_wt-downcast-hsqldb_old.wcnf,1,60,True,20.362,25.0385,30280.0,Host-NuWLS,NuWLS,False,True
abstraction-refinement_wt-downcast-pmd_old.wcnf,1,60,True,21.7978,53.001,4286.0,Host-NuWLS,NuWLS,False,True
abstraction-refinement_wt-downcast-xalan_old.wcnf,1,60,True,11.298,23.2312,65534.0,Host-NuWLS,NuWLS,False,True
abstraction-refinement_wt-polysite-avrora_old.wcnf,1,60,True,8.84721,24.2163,51857.0,Host-NuWLS,NuWLS,False,True
abstraction-refinement_wt-polysite-bloat_old.wcnf,1,60,True,30.9301,59.4876,183.0,Host-NuWLS,NuWLS,False,True
abstraction-refinement_wt-polysite-hsqldb_old.wcnf,1,60,True,31.6856,37.6224,172545.0,Host-NuWLS,NuWLS,False,True
abstraction-refinement_wt-polysite-pmd_old.wcnf,1,60,True,16.3027,50.7665,188481.0,Host-NuWLS,NuWLS,False,True
abstraction-refinement_wt-polysite-xalan_old.wcnf,1,60,True,19.8868,53.8908,114727.0,Host-NuWLS,NuWLS,False,True
causal-discovery_wt-causal_alarm_9_1000_old.wcnf,1,60,True,4.0104,41.9039,31083142.0,Host-NuWLS,NuWLS,False,True
causal-discovery_wt-causal_carpo_8_1000_old.wcnf,1,60,True,0.308586,1.56259,2807752.0,Host-NuWLS,NuWLS,False,True
causal-discovery_wt-causal_Link_10_10000_old.wcnf,1,60,True,8.72021,53.6591,132453527.0,Host-NuWLS,NuWLS,False,True
causal-discovery_wt-causal_Link_10_1000_old.wcnf,1,60,True,37.71,45.8239,28490847.0,Host-NuWLS,NuWLS,False,True
causal-discovery_wt-causal_Link_9_100_old.wcnf,1,60,True,0.716344,20.52,2083825.0,Host-NuWLS,NuWLS,False,True
causal-discovery_wt-causal_Mushroom_7_1000_old.wcnf,1,60,True,0.259877,3.65193,263844.0,Host-NuWLS,NuWLS,False,True
causal-discovery_wt-causal_Pigs_6_1000_old.wcnf,1,60,True,0.248602,40.0805,20157909.0,Host-NuWLS,NuWLS,False,True
causal-discovery_wt-causal_Water_10_1000_old.wcnf,1,60,True,2.02882,2.02882,45193159.0,Host-NuWLS,NuWLS,False,True
correlation-clustering_wt-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200_old.wcnf,1,60,True,0.287359,56.6998,6971412.0,Host-NuWLS,NuWLS,False,True
correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_UNARY_N290_old.wcnf,1,60,True,4.98457,46.6621,19777685.0,Host-NuWLS,NuWLS,False,True
correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N220_old.wcnf,1,60,True,0.106437,53.0195,13795036.0,Host-NuWLS,NuWLS,False,True
correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N240_old.wcnf,1,60,True,0.29613,8.794,16116883.0,Host-NuWLS,NuWLS,False,True
correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N380_old.wcnf,1,60,True,0.307729,14.9825,38375977.0,Host-NuWLS,NuWLS,False,True
correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_UNARY_N220_old.wcnf,1,60,True,2.52822,31.9772,15466586.0,Host-NuWLS,NuWLS,False,True
correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280_old.wcnf,1,60,True,6.72857,55.6132,19709283.0,Host-NuWLS,NuWLS,False,True
correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_UNARY_N220_old.wcnf,1,60,True,1.81921,59.2789,15425224.0,Host-NuWLS,NuWLS,False,True
correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_BINARY_N320_old.wcnf,1,60,True,0.130398,7.91137,14733167.0,Host-NuWLS,NuWLS,False,True
