ConfigID,ParameterGroup,ParameterName,ParameterValue,Feasible,DeltaFeasibleVsBase,FeasibilityGains,FeasibilityLosses,CommonFeasible,QualityWins,QualityLosses,QualityTies,QualityWinShareAmongChangedPct,MedianRelativeCostChangePct,MedianRelativeCostChangeAmongChangedPct,MedianRelativeCostChangeCI95LowPct,MedianRelativeCostChangeCI95HighPct,MeanRelativeCostChangePct,CostSignTestP,Strict60QualityEligible,Strict60CommonQuality,Strict60QualityWins,Strict60QualityLosses,Strict60QualityTies,Strict60CostSignTestP,MedianFirstFeasibleTimeSeconds,MeanFirstFeasibleTimeSeconds,MedianPaperTableTimeSeconds,MeanPaperTableTimeSeconds,MeanWinningPaperTableTimeSeconds,NeitherFeasible,CostSignTestHolmP,Strict60CostSignTestHolmP,CoverageFirstVerdict
BASE,reference,deployment,frozen,159,0,0,0,159,0,0,159,,0.0,,0.0,0.0,0.0,1.0,154,154,0,0,154,1.0,1.490124,6.406579855345912,10.24051,18.231176974842768,,1,1.0,1.0,deployed_reference
P0,objective,p,0,157,-2,0,2,157,19,22,116,46.34146341463415,0.0,0.12836970474967907,0.0,0.0,0.535262470311149,0.755228657504631,154,152,17,19,116,0.8679394004284404,0.867689,4.951089503184713,10.265711,17.75631852866242,42.09780494736842,1,1.0,1.0,rejected_due_to_feasibility_loss
P05,objective,p,0.5,159,0,0,0,159,31,8,120,79.48717948717949,0.0,-0.6406805441618814,0.0,0.0,-1.491123815041258,0.0002940768754342571,155,153,27,6,120,0.0003240634687244892,0.783609,5.06146027044025,9.422126,16.69261757861635,34.8307774516129,1,0.007645998761290684,0.00842565018683672,quality_candidate_requires_confirmation
LAM0,objective,lambda,0,158,-1,0,1,158,24,18,116,57.14285714285714,0.0,-0.16550939292614095,0.0,0.0,-0.6939178379366261,0.44079906734259566,154,152,20,16,116,0.617719317029696,0.7769845,4.73750638607595,9.478500499999999,17.256985746835447,37.969526625,1,1.0,1.0,rejected_due_to_feasibility_loss
LAM05,objective,lambda,0.5,158,-1,0,1,158,21,16,121,56.75675675675676,0.0,-0.0959675729014008,0.0,0.0,-0.6719712860992622,0.5113757815852296,154,152,17,15,120,0.860050065908581,0.8461179999999999,4.710405145569619,9.1595255,15.841204398734176,37.46319471428572,1,1.0,1.0,rejected_due_to_feasibility_loss
K500,objective,kappa,500,158,-1,0,1,158,20,13,125,60.60606060606061,0.0,-0.6406805441618814,0.0,0.0,95237.79910758937,0.296206368599087,155,153,17,12,124,0.45825831964612007,1.223612,5.350229107594936,9.586870000000001,16.79636158227848,37.02084275,1,1.0,1.0,rejected_due_to_feasibility_loss
K1000,objective,kappa,1000,159,0,0,0,159,22,14,123,61.111111111111114,0.0,-0.23242047497298163,0.0,0.0,174145.8917584392,0.2429849540349096,155,153,19,11,123,0.20048842206597328,0.822057,5.001104056603774,9.215202,16.39862351572327,33.30421745454545,1,1.0,1.0,coverage_preserved_no_detectable_quality_change
K5000,objective,kappa,5000,158,-1,0,1,158,17,15,126,53.125,0.0,-0.017415873361845437,0.0,0.0,95237.73137441077,0.860050065908581,154,153,13,15,125,0.8505540192127228,0.820137,4.893488487341773,8.936530000000001,15.88154533544304,32.371567000000006,1,1.0,1.0,rejected_due_to_feasibility_loss
BETA_N1,structure,beta,-1,158,-1,0,1,158,12,16,130,42.857142857142854,0.0,0.04820759650886896,0.0,0.0,95237.94392508194,0.5715881884098053,154,153,10,15,128,0.42435622215270996,0.8384645,5.370690759493671,10.3176715,17.000001645569622,43.33613700000001,1,1.0,1.0,rejected_due_to_feasibility_loss
BETA_N025,structure,beta,-0.25,157,-2,0,2,157,17,16,124,51.515151515151516,0.0,-0.09207864796172249,0.0,0.0,14.151161342394996,1.0,155,153,16,13,124,0.711071103811264,0.961174,5.460693636942675,9.030501,16.619854573248407,38.65750211764706,1,1.0,1.0,rejected_due_to_feasibility_loss
BETA0,structure,beta,0,157,-2,0,2,157,17,17,123,50.0,0.0,-0.026333479511848574,0.0,0.0,95846.01560702869,1.0,154,152,14,15,123,1.0,0.820477,4.550604401273884,8.533182,16.073412503184713,31.732998705882352,1,1.0,1.0,rejected_due_to_feasibility_loss
