Dataset,Index,Instance,InstanceKey,Seed,CutoffSeconds,ExternalSeconds,InternalSeconds,PaperTableTimeSecondsReported,PaperTableTimeSeconds,ExitCode,EarlyExit,Feasible,BestCost,Log,SourceFile
23-wpms-60s,1,abstraction-refinement_wt-downcast-antlr_old.wcnf,abstraction_refinement_wt_downcast_antlr_old,1,60.0,67.267398,67.196804,34.686586,34.686586,0,False,True,76306.0,001.log,two_core_23_wpms.csv
23-wpms-60s,2,abstraction-refinement_wt-downcast-avrora_old.wcnf,abstraction_refinement_wt_downcast_avrora_old,1,60.0,65.113257,65.05969,14.304284,14.304284,0,False,True,46694.0,002.log,two_core_23_wpms.csv
23-wpms-60s,3,abstraction-refinement_wt-downcast-hsqldb_old.wcnf,abstraction_refinement_wt_downcast_hsqldb_old,1,60.0,63.1441,63.053159,25.234902,25.234902,0,False,True,30280.0,003.log,two_core_23_wpms.csv
23-wpms-60s,4,abstraction-refinement_wt-downcast-pmd_old.wcnf,abstraction_refinement_wt_downcast_pmd_old,1,60.0,63.436979,63.342946,48.309582,48.309582,0,False,True,4286.0,004.log,two_core_23_wpms.csv
23-wpms-60s,5,abstraction-refinement_wt-downcast-xalan_old.wcnf,abstraction_refinement_wt_downcast_xalan_old,1,60.0,65.700698,65.650345,21.618389,21.618389,0,False,True,65534.0,005.log,two_core_23_wpms.csv
23-wpms-60s,6,abstraction-refinement_wt-polysite-avrora_old.wcnf,abstraction_refinement_wt_polysite_avrora_old,1,60.0,62.338642,62.283048,23.433783,23.433783,0,False,True,51857.0,006.log,two_core_23_wpms.csv
23-wpms-60s,7,abstraction-refinement_wt-polysite-bloat_old.wcnf,abstraction_refinement_wt_polysite_bloat_old,1,60.0,63.050444,62.955328,57.487683,57.487683,0,False,True,175.0,007.log,two_core_23_wpms.csv
23-wpms-60s,8,abstraction-refinement_wt-polysite-hsqldb_old.wcnf,abstraction_refinement_wt_polysite_hsqldb_old,1,60.0,62.499942,62.420992,27.497383,27.497383,0,False,True,172545.0,008.log,two_core_23_wpms.csv
23-wpms-60s,9,abstraction-refinement_wt-polysite-pmd_old.wcnf,abstraction_refinement_wt_polysite_pmd_old,1,60.0,67.416941,67.33177,50.939388,50.939388,0,False,True,188481.0,009.log,two_core_23_wpms.csv
23-wpms-60s,10,abstraction-refinement_wt-polysite-xalan_old.wcnf,abstraction_refinement_wt_polysite_xalan_old,1,60.0,66.819916,66.748643,59.205456,59.205456,0,False,True,114706.0,010.log,two_core_23_wpms.csv
