Dataset,InstanceKey,DualCoreFeasible,SingleCoreFeasible,DualCoreBestCost,SingleCoreBestCost,DualCorePaperTableTimeSeconds,SingleCoreBestTimeSeconds
23-wpms-60s,abstraction_refinement_wt_downcast_antlr_old,True,True,76306.0,78873.0,34.686586,23.305471
23-wpms-60s,abstraction_refinement_wt_downcast_avrora_old,True,True,46694.0,49759.0,14.304284,18.600554
23-wpms-60s,abstraction_refinement_wt_downcast_hsqldb_old,True,True,30280.0,32293.0,25.234902,39.530195
23-wpms-60s,abstraction_refinement_wt_downcast_pmd_old,True,True,4286.0,6287.0,48.309582,39.730666
23-wpms-60s,abstraction_refinement_wt_downcast_xalan_old,True,True,65534.0,65593.0,21.618389,59.118903
23-wpms-60s,abstraction_refinement_wt_polysite_avrora_old,True,True,51857.0,55020.0,23.433783,18.246408
23-wpms-60s,abstraction_refinement_wt_polysite_bloat_old,True,True,175.0,2397.0,57.487683,56.613969
23-wpms-60s,abstraction_refinement_wt_polysite_hsqldb_old,True,True,172545.0,177778.0,27.497383,14.021446
23-wpms-60s,abstraction_refinement_wt_polysite_pmd_old,True,True,188481.0,190826.0,50.939388,38.890768
23-wpms-60s,abstraction_refinement_wt_polysite_xalan_old,True,True,114706.0,117742.0,59.205456,24.742583
23-wpms-60s,causal_discovery_wt_causal_alarm_9_1000_old,True,True,31083142.0,36049513.0,40.597677,10.337372
23-wpms-60s,causal_discovery_wt_causal_carpo_8_1000_old,True,True,2807752.0,2244087.0,1.496232,59.277741
23-wpms-60s,causal_discovery_wt_causal_link_10_10000_old,True,True,39112847.0,39112847.0,31.665155,14.58234
23-wpms-60s,causal_discovery_wt_causal_link_10_1000_old,True,True,28490847.0,33562494.0,44.528984,29.284509
23-wpms-60s,causal_discovery_wt_causal_link_9_100_old,True,True,2083825.0,3242187.0,19.816289,0.660957
23-wpms-60s,causal_discovery_wt_causal_mushroom_7_1000_old,True,True,263844.0,9414169.0,3.679244,17.961601
23-wpms-60s,causal_discovery_wt_causal_pigs_6_1000_old,True,True,20157909.0,35110976.0,40.909082,0.258813
23-wpms-60s,causal_discovery_wt_causal_water_10_1000_old,True,True,45193159.0,45193159.0,1.787644,11.995383
23-wpms-60s,correlation_clustering_wt_rounded_correlationclustering_ionosphere_binary_n260_d0_200_old,True,True,6971412.0,7014701.0,54.005162,7.575854
23-wpms-60s,correlation_clustering_wt_rounded_correlationclustering_protein1_unary_n290_old,True,True,19777685.0,32090014.0,43.513486,7.034988
23-wpms-60s,correlation_clustering_wt_rounded_correlationclustering_protein2_binary_n220_old,True,True,13795036.0,14004102.0,48.786798,8.168954
23-wpms-60s,correlation_clustering_wt_rounded_correlationclustering_protein2_binary_n240_old,True,True,16116883.0,16116883.0,8.866129,8.684379
23-wpms-60s,correlation_clustering_wt_rounded_correlationclustering_protein2_binary_n380_old,True,True,38375977.0,39198852.0,14.743195,12.291395
23-wpms-60s,correlation_clustering_wt_rounded_correlationclustering_protein2_unary_n220_old,True,True,15466586.0,21300102.0,29.994488,4.198617
23-wpms-60s,correlation_clustering_wt_rounded_correlationclustering_protein3_transitive_n280_old,True,True,19709283.0,185255761.0,51.649583,33.073712
23-wpms-60s,correlation_clustering_wt_rounded_correlationclustering_protein3_unary_n220_old,True,True,15421570.0,19154505.0,59.131786,4.904447
23-wpms-60s,correlation_clustering_wt_rounded_correlationclustering_protein4_binary_n320_old,True,True,14733167.0,14733167.0,8.104489,7.871933
23-wpms-60s,correlation_clustering_wt_rounded_correlationclustering_protein4_unary_n250_old,True,True,9446804.0,11103273.0,36.796283,13.345582
23-wpms-60s,correlation_clustering_wt_rounded_correlationclustering_vowel_binary_n700_d0_200_old,True,True,75201247.0,75201247.0,1.49318,3.249223
23-wpms-60s,correlation_clustering_wt_rounded_correlationclustering_vowel_binary_n800_d0_200_old,True,True,86276967.0,86276967.0,6.522385,9.499026
23-wpms-60s,decision_tree_anneal_un_formula_0_8_2021_atleast_31_max_4_reduced_incomplete_adaboost_3_old,True,True,355.0,355.0,2.746004,4.655948
23-wpms-60s,decision_tree_anneal_un_formula_0_8_2021_atleast_31_max_4_reduced_incomplete_adaboost_5_old,True,True,750.0,762.0,21.550187,8.190515
23-wpms-60s,decision_tree_australian_credit_un_formula_0_8_2021_atleast_31_max_4_reduced_incomplete_adaboost_5_old,True,True,575.0,575.0,3.520656,3.850482
23-wpms-60s,decision_tree_heart_cleveland_un_formula_0_8_2021_atleast_127_max_6_reduced_incomplete_adaboost_2_old,True,True,72.0,72.0,5.170306,9.433333
23-wpms-60s,decision_tree_heart_cleveland_un_formula_0_8_2021_atleast_15_max_3_reduced_incomplete_adaboost_4_old,True,True,138.0,138.0,0.412411,0.475636
23-wpms-60s,decision_tree_heart_cleveland_un_formula_0_8_2021_atleast_31_max_4_reduced_incomplete_adaboost_4_old,True,True,146.0,146.0,0.734025,1.061532
23-wpms-60s,decision_tree_heart_cleveland_un_formula_0_8_2021_atleast_31_max_4_reduced_incomplete_adaboost_6_old,True,True,240.0,240.0,1.18692,1.421996
23-wpms-60s,decision_tree_primary_tumor_un_formula_0_8_2021_atleast_127_max_6_reduced_incomplete_adaboost_2_old,True,True,113.0,113.0,3.748317,5.149441
23-wpms-60s,decision_tree_primary_tumor_un_formula_0_8_2021_atleast_127_max_6_reduced_incomplete_adaboost_4_old,True,True,212.0,212.0,1.870911,3.209747
23-wpms-60s,decision_tree_primary_tumor_un_formula_0_8_2021_atleast_15_max_3_reduced_incomplete_adaboost_2_old,True,True,84.0,84.0,4.75212,4.63157
23-wpms-60s,decision_tree_primary_tumor_un_formula_0_8_2021_atleast_31_max_4_reduced_incomplete_adaboost_4_old,True,True,155.0,155.0,3.996085,4.240704
23-wpms-60s,decision_tree_primary_tumor_un_formula_0_8_2021_atleast_63_max_5_reduced_incomplete_adaboost_6_old,True,True,338.0,338.0,1.333713,1.645439
23-wpms-60s,decision_tree_tic_tac_toe_un_formula_0_8_2021_atleast_15_max_3_reduced_incomplete_adaboost_2_old,True,True,335.0,335.0,0.321898,0.371593
23-wpms-60s,decision_tree_tic_tac_toe_un_formula_0_8_2021_atleast_15_max_3_reduced_incomplete_adaboost_3_old,True,True,443.0,443.0,0.281453,0.323772
23-wpms-60s,decision_tree_tic_tac_toe_un_formula_0_8_2021_atleast_31_max_4_reduced_incomplete_adaboost_2_old,True,True,286.0,286.0,0.27908,0.3911
23-wpms-60s,drmx_cryptogen_wt_geffe128_7_old,True,True,800.0,811.0,31.471489,29.256319
23-wpms-60s,generalized_ising_wt_is11_5_0_5_0_0_5_softer_periodic_old,True,True,112072158920140.0,112229069992697.0,0.033039,0.66061
23-wpms-60s,generalized_ising_wt_is12_5_0_5_0_0_5_softer_periodic_old,True,True,113171466486232.0,113171466486232.0,0.360256,0.042741
23-wpms-60s,generalized_ising_wt_is13_5_0_5_0_0_5_softer_periodic_old,True,True,119401387482250.0,119401387482250.0,0.033324,0.038464
23-wpms-60s,generalized_ising_wt_is15_5_0_5_0_0_5_softer_periodic_old,True,True,114658059944605.0,114658059944605.0,0.03362,0.040442
23-wpms-60s,generalized_ising_wt_is16_5_0_5_0_0_5_softer_periodic_old,True,True,115258059944605.0,115258059944605.0,1.455659,6.026246
